"","Filename","Date","Hour","Foraging","Total_Events","Year","Month","Day"
"240","Potomac 2017 01 2017 05 10 POD2969 file01.CP59",2017-05-29,19,FALSE,9,"2017","05","29"
"241","Potomac 2017 01 2017 05 10 POD2969 file01.CP60",2017-05-30,2,FALSE,10,"2017","05","30"
"242","Potomac 2017 01 2017 05 10 POD2969 file01.CP61",2017-05-30,2,TRUE,2,"2017","05","30"
"243","Potomac 2017 01 2017 05 10 POD2969 file01.CP62",2017-05-31,0,FALSE,8,"2017","05","31"
"244","Potomac 2017 01 2017 05 10 POD2969 file01.CP63",2017-05-31,2,FALSE,11,"2017","05","31"
"245","Potomac 2017 01 2017 05 10 POD2969 file01.CP64",2017-05-31,2,TRUE,5,"2017","05","31"
"246","Potomac 2017 01 2017 05 10 POD2969 file01.CP65",2017-05-31,3,FALSE,18,"2017","05","31"
"247","Potomac 2017 01 2017 05 10 POD2969 file01.CP66",2017-05-31,3,TRUE,3,"2017","05","31"
"248","Potomac 2017 01 2017 05 10 POD2969 file01.CP67",2017-05-31,4,FALSE,6,"2017","05","31"
"249","Potomac 2017 01 2017 05 10 POD2969 file01.CP68",2017-05-31,4,TRUE,13,"2017","05","31"
"250","Potomac 2017 01 2017 05 10 POD2969 file01.CP69",2017-05-31,5,FALSE,1,"2017","05","31"
"251","Potomac 2017 01 2017 05 10 POD2969 file01.CP70",2017-06-01,9,FALSE,1,"2017","06","01"
"252","Potomac 2017 01 2017 05 10 POD2969 file01.CP71",2017-06-01,10,FALSE,1,"2017","06","01"
"253","Potomac 2017 01 2017 05 10 POD2969 file01.CP72",2017-06-01,11,FALSE,4,"2017","06","01"
"254","Potomac 2017 01 2017 05 10 POD2969 file01.CP73",2017-06-01,13,FALSE,5,"2017","06","01"
"255","Potomac 2017 01 2017 05 10 POD2969 file01.CP74",2017-06-01,14,FALSE,1,"2017","06","01"
"256","Potomac 2017 01 2017 05 10 POD2969 file01.CP75",2017-06-01,19,FALSE,3,"2017","06","01"
"257","Potomac 2017 01 2017 05 10 POD2969 file01.CP76",2017-06-01,20,FALSE,4,"2017","06","01"
"258","Potomac 2017 01 2017 05 10 POD2969 file01.CP77",2017-06-02,0,FALSE,1,"2017","06","02"
